CATE,bedrooms,halls,AREA,floor,subway,school,price,LONG,LAT,NAME,DISTRICT
chaoyang,1,0,46.06,middle,1,0,48850,116.4596527,39.92834651,10AM新坐标,方庄
chaoyang,1,1,59.09,middle,1,0,46540,116.4596527,39.92834651,10AM新坐标,方庄
haidian,5,2,278.95,high,1,1,71662,116.3035556,39.95480697,10号名邸,紫竹桥
haidian,3,2,207,high,1,1,57972,116.3035556,39.95480697,10号名邸,紫竹桥
fengtai,2,1,53.32,low,1,1,71268,116.4188263,39.94381285,17号旁门,蒲黄榆
fengtai,2,1,58,low,1,1,70690,116.4188263,39.94381285,17号旁门,蒲黄榆
haidian,2,1,55.8,low,1,1,57348,116.3331261,40.03770842,621小区,清河
haidian,2,1,58.9,middle,1,1,55179,116.3331261,40.03770842,621小区,清河
haidian,2,1,66.9,middle,1,1,45591,116.3331261,40.03770842,621小区,清河
fengtai,2,2,53,middle,1,0,73585,116.3917534,39.84567113,7克拉,马家堡
chaoyang,2,2,94.19,middle,1,0,60516,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,0,38.94,high,1,0,56498,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,0,48,high,1,0,55209,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,0,36.74,middle,1,0,54437,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,0,45,low,1,0,53334,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,1,92.98,middle,1,0,50549,116.3448937,39.90108403,CBD传奇,大望路
chaoyang,1,1,64.6,middle,1,0,68576,116.4561529,39.90398133,CBD总部公寓二期,双井
chaoyang,1,1,80.74,low,1,0,66634,116.4561529,39.90398133,CBD总部公寓二期,双井
chaoyang,1,1,81,low,1,0,66050,116.4561529,39.90398133,CBD总部公寓二期,双井
chaoyang,1,1,78.23,low,1,0,67749,116.4561529,39.90398133,CBD总部公寓一期,双井
